"x" "y" "Se"
"1" 335.4876405 1145.094441 0.071
"2" 372.7338774 1131.699983 0.027
"3" 349.7733083 1136.939257 0.024
"4" 338.4491528 1134.677502 0.046
"5" 355.953074 1144.972874 0.001
"6" 365.2960536 1149.676332 0.014
"7" 382.4645028 1133.454991 0.032
"8" 386.662465 1141.244977 0.012
"9" 389.7561356 1142.717114 0.022
"10" 389.2042654 1129.818054 0.013
"11" 397.6669088 1132.411369 0.043
"12" 415.2816023 1128.772999 0.009
"13" 409.7418818 1136.83812 0.095
"14" 403.2186342 1140.370728 0.024
"15" 405.6023232 1128.542022 0.018
"16" 388.1063566 1161.371725 0.019
"17" 392.1026929 1165.440113 0.042
"18" 399.8948749 1156.42747 0.021
"19" 401.5705717 1154.724697 0.112
"20" 403.7929427 1152.975011 0.28
"21" 424.693311 1144.257478 0.102
"22" 425.2944436 1150.065512 0.079
"23" 433.195326 1158.098466 0.051
"24" 432.8618407 1158.430161 0.057
"25" 415.5781449 1151.383816 0.053
"26" 408.8378116 1159.668841 0.26
"27" 408.0332751 1169.440239 0.078
"28" 408.1261614 1176.098157 0.06
"29" 415.8525611 1181.377486 0.033
"30" 401.5883965 1187.943005 0.017
"31" 400.6991439 1190.725967 0.027
"32" 400.425117 1193.315432 0.029
"33" 395.9470772 1199.481303 0.011
"34" 417.232782 1202.780037 0.064
"35" 418.5073535 1201.957264 0.011
"36" 431.1763109 1200.864248 0.02
"37" 431.3981088 1200.793036 0.04
"38" 433.5611605 1197.411772 0.011
"39" 406.6905778 1207.43471 0.024
"40" 397.0709226 1209.161471 0.005
"41" 387.9727745 1213.015112 0.003
"42" 382.4826972 1210.296348 0.008
"43" 382.3082319 1218.006188 0.01
"44" 368.9951165 1204.214907 0.018
"45" 369.5336224 1207.694657 0.01
"46" 374.369384 1215.037885 0.02
"47" 361.738572 1229.572069 0.033
"48" 374.8113546 1221.917968 0.018
"49" 371.399004 1228.608372 0.014
"50" 601.3512493 1104.048337 0.64
"51" 594.7421115 1102.322866 0.658
"52" 603.0190049 1143.679853 0.233
"53" 601.3798207 1143.972111 1.026
"54" 600.5181616 1158.250622 1.121
"55" 600.1218145 1158.198995 0.468
"56" 586.0734645 1181.761175 0.67
"57" 489.8138642 1106.686052 0.182
"58" 485.4551805 1106.344619 0.099
"59" 499.6590162 1108.065819 0.09
"60" 493.4327093 1132.896604 0.097
"61" 504.809714 1127.69706 0.013
"62" 505.0446306 1127.92833 0.13
"63" 501.3080047 1110.880723 0.029
"64" 497.4413091 1317.215703 0.118
"65" 490.0156949 1300.522952 0.146
"66" 465.5805734 1306.336934 0.02
"67" 470.3457403 1312.743976 0.091
"68" 469.3993136 1307.866487 0.184
"69" 473.9182531 1297.51746 0.042
"70" 477.4435406 1267.212181 0.092
"71" 501.1113864 1273.057233 0.793
"72" 527.1243477 1274.487668 0.893
"73" 574.4286156 1316.201611 0.188
"74" 571.4455939 1277.288603 0.539
"75" 568.5780003 1290.477325 0.312
"76" 570.7068091 1277.085547 0.403
"77" 564.7301224 1298.234729 0.174
"78" 378.8613617 1337.078674 0.039
"79" 367.9255182 1317.32338 0.118
"80" 400.6351969 1308.566789 0.018
"81" 397.7413531 1307.438166 0.011
"82" 392.1737581 1313.109578 0.043
"83" 460.7737136 1179.375699 0.029
"84" 462.3448247 1168.636751 0.033
"85" 456.286977 1155.306229 0.301
"86" 468.6605378 1161.661959 0.005
"87" 477.029724 1170.660014 0.224
"88" 456.881512 1157.805725 0.061
"89" 492.0089401 1191.351087 0.108
"90" 428.5244935 1252.873053 0.116
"91" 422.496759 1255.367416 0.199
"92" 376.481278 1247.500799 0.044
"93" 378.3530205 1256.033451 0.015
"94" 387.5288068 1262.109088 0.04
"95" 390.3364438 1271.40179 0.039
"96" 386.9817806 1287.439582 0.018
"97" 394.0684762 1284.043624 0.02
"98" 396.9344729 1272.274843 0.028
"99" 369.9175963 1287.338433 0.031
"100" 521.742336 1234.216057 0.027
"101" 535.3426948 1147.758616 0.078
"102" 567.1362827 1271.340441 0.68
"103" 572.0834483 1255.061478 0.273
"104" 572.8135039 1250.317946 0.15
"105" 569.390203 1245.30903 0.089
"106" 582.1955236 1252.727952 0.244
"107" 560.6932474 1225.359544 0.103
"108" 569.8959774 1219.81964 0.056
"109" 574.98889 1238.913485 0.057
"110" 514.0782028 1256.612634 0.194
"111" 498.1011346 1152.886525 0.033
"112" 494.1679048 1160.014972 0.04
"113" 507.9708229 1156.539869 0.129
"114" 603.2120208 1149.329433 0.077
"115" 588.2746489 1203.929994 0.373
"116" 585.288438 1191.880408 0.245
"117" 609.5336172 1191.577034 0.02
"118" 587.6771683 1210.969886 0.022
"119" 582.7928772 1215.407728 0.508
"120" 350.128307 1232.050906 0.134
"121" 343.7526024 1253.455611 0.061
"122" 343.4311358 1254.057426 0.009
"123" 343.4686866 1240.88603 0.012
